sale_id,sale_date,customer_name,email,region_name,product_name,category,quantity,sale_amount
38,2024-01-28,Ravi Chopra,ravi.chopra@example.com,Central,Laptop,Electronics,2,150000.0
63,2024-01-31,Priya Singh,priya.singh@example.com,Central,Laptop,Electronics,1,75000.0
107,2023-02-26,Pooja Singh,pooja.singh@example.com,Central,Laptop,Electronics,1,75000.0
108,2023-03-25,Rahul Singh,rahul.singh@example.com,Central,Laptop,Electronics,2,150000.0
142,2024-06-27,Pooja Patel,pooja.patel@example.com,Central,Laptop,Electronics,1,75000.0
296,2023-07-22,Priya Reddy,priya.reddy@example.com,Central,Laptop,Electronics,5,375000.0
355,2024-11-03,Ravi Verma,ravi.verma@example.com,Central,Laptop,Electronics,3,225000.0
405,2023-01-11,Karan Gupta,karan.gupta@example.com,Central,Laptop,Electronics,1,75000.0
413,2023-04-30,Sneha Chopra,sneha.chopra@example.com,Central,Laptop,Electronics,4,300000.0
443,2024-10-20,Simran Kumar,simran.kumar@example.com,Central,Laptop,Electronics,1,75000.0
468,2023-12-04,Arjun Mehta,arjun.mehta@example.com,Central,Laptop,Electronics,3,225000.0
509,2023-08-24,Sneha Iyer,sneha.iyer@example.com,Central,Laptop,Electronics,1,75000.0
522,2023-10-11,Sneha Sharma,sneha.sharma@example.com,Central,Laptop,Electronics,1,75000.0
557,2023-01-05,Rahul Sharma,rahul.sharma@example.com,Central,Laptop,Electronics,4,300000.0
566,2024-06-23,Amit Patel,amit.patel@example.com,Central,Laptop,Electronics,2,150000.0
744,2024-01-16,Ravi Verma,ravi.verma@example.com,Central,Laptop,Electronics,4,300000.0
804,2024-04-03,Pooja Iyer,pooja.iyer@example.com,Central,Laptop,Electronics,1,75000.0
807,2023-03-24,Simran Kumar,simran.kumar@example.com,Central,Laptop,Electronics,1,75000.0
836,2024-06-07,Simran Kumar,simran.kumar@example.com,Central,Laptop,Electronics,5,375000.0
852,2024-09-12,Arjun Reddy,arjun.reddy@example.com,Central,Laptop,Electronics,4,300000.0
855,2024-08-11,Neha Iyer,neha.iyer@example.com,Central,Laptop,Electronics,2,150000.0
889,2023-05-06,Arjun Reddy,arjun.reddy@example.com,Central,Laptop,Electronics,5,375000.0
915,2024-05-13,Neha Iyer,neha.iyer@example.com,Central,Laptop,Electronics,2,150000.0
948,2024-12-26,Amit Reddy,amit.reddy@example.com,Central,Laptop,Electronics,1,75000.0
982,2023-06-30,Amit Iyer,amit.iyer@example.com,Central,Laptop,Electronics,5,375000.0
988,2024-10-19,Rahul Sharma,rahul.sharma@example.com,Central,Laptop,Electronics,5,375000.0
990,2024-03-04,Ravi Chopra,ravi.chopra@example.com,Central,Laptop,Electronics,5,375000.0
6,2023-11-27,Ravi Singh,ravi.singh@example.com,West,Laptop,Electronics,1,75000.0
44,2024-07-01,Karan Iyer,karan.iyer@example.com,West,Laptop,Electronics,4,300000.0
141,2023-10-04,Simran Sharma,simran.sharma@example.com,West,Laptop,Electronics,5,375000.0
251,2024-12-23,Arjun Reddy,arjun.reddy@example.com,West,Laptop,Electronics,5,375000.0
320,2024-07-08,Amit Reddy,amit.reddy@example.com,West,Laptop,Electronics,1,75000.0
356,2024-12-29,Priya Sharma,priya.sharma@example.com,West,Laptop,Electronics,4,300000.0
395,2024-11-25,Priya Kumar,priya.kumar@example.com,West,Laptop,Electronics,3,225000.0
433,2023-05-17,Neha Mehta,neha.mehta@example.com,West,Laptop,Electronics,5,375000.0
439,2024-08-05,Sneha Chopra,sneha.chopra@example.com,West,Laptop,Electronics,1,75000.0
470,2023-11-07,Rahul Kumar,rahul.kumar@example.com,West,Laptop,Electronics,4,300000.0
512,2024-04-14,Priya Reddy,priya.reddy@example.com,West,Laptop,Electronics,3,225000.0
516,2023-08-11,Ravi Singh,ravi.singh@example.com,West,Laptop,Electronics,4,300000.0
527,2024-02-13,Neha Sharma,neha.sharma@example.com,West,Laptop,Electronics,4,300000.0
587,2024-11-19,Karan Sharma,karan.sharma@example.com,West,Laptop,Electronics,3,225000.0
645,2023-05-08,Amit Gupta,amit.gupta@example.com,West,Laptop,Electronics,3,225000.0
668,2023-07-02,Simran Patel,simran.patel@example.com,West,Laptop,Electronics,5,375000.0
731,2023-08-17,Priya Patel,priya.patel@example.com,West,Laptop,Electronics,1,75000.0
749,2024-09-04,Simran Patel,simran.patel@example.com,West,Laptop,Electronics,2,150000.0
752,2023-10-28,Rahul Singh,rahul.singh@example.com,West,Laptop,Electronics,3,225000.0
779,2024-01-31,Pooja Singh,pooja.singh@example.com,West,Laptop,Electronics,1,75000.0
784,2023-09-18,Rahul Kumar,rahul.kumar@example.com,West,Laptop,Electronics,2,150000.0
792,2024-08-11,Rahul Sharma,rahul.sharma@example.com,West,Laptop,Electronics,4,300000.0
910,2023-10-02,Rahul Singh,rahul.singh@example.com,West,Laptop,Electronics,2,150000.0
961,2023-04-20,Arjun Patel,arjun.patel@example.com,West,Laptop,Electronics,5,375000.0
964,2023-11-30,Simran Patel,simran.patel@example.com,West,Laptop,Electronics,2,150000.0
983,2024-12-02,Karan Iyer,karan.iyer@example.com,West,Laptop,Electronics,5,375000.0
993,2024-04-12,Neha Chopra,neha.chopra@example.com,West,Laptop,Electronics,4,300000.0
55,2023-10-26,Ravi Chopra,ravi.chopra@example.com,East,Laptop,Electronics,3,225000.0
60,2024-12-12,Sneha Mehta,sneha.mehta@example.com,East,Laptop,Electronics,5,375000.0
85,2023-07-15,Amit Reddy,amit.reddy@example.com,East,Laptop,Electronics,1,75000.0
98,2024-03-23,Priya Reddy,priya.reddy@example.com,East,Laptop,Electronics,4,300000.0
139,2023-02-09,Arjun Patel,arjun.patel@example.com,East,Laptop,Electronics,1,75000.0
245,2024-04-09,Karan Mehta,karan.mehta@example.com,East,Laptop,Electronics,1,75000.0
273,2024-12-22,Priya Reddy,priya.reddy@example.com,East,Laptop,Electronics,5,375000.0
310,2024-03-09,Neha Reddy,neha.reddy@example.com,East,Laptop,Electronics,5,375000.0
391,2023-04-12,Ravi Verma,ravi.verma@example.com,East,Laptop,Electronics,4,300000.0
435,2024-07-03,Amit Iyer,amit.iyer@example.com,East,Laptop,Electronics,1,75000.0
466,2024-02-09,Neha Verma,neha.verma@example.com,East,Laptop,Electronics,4,300000.0
511,2023-11-17,Ravi Sharma,ravi.sharma@example.com,East,Laptop,Electronics,1,75000.0
559,2024-07-03,Simran Patel,simran.patel@example.com,East,Laptop,Electronics,5,375000.0
564,2024-09-30,Simran Sharma,simran.sharma@example.com,East,Laptop,Electronics,1,75000.0
586,2023-07-22,Arjun Reddy,arjun.reddy@example.com,East,Laptop,Electronics,2,150000.0
609,2023-10-07,Priya Reddy,priya.reddy@example.com,East,Laptop,Electronics,3,225000.0
612,2023-03-20,Amit Chopra,amit.chopra@example.com,East,Laptop,Electronics,5,375000.0
663,2024-03-22,Arjun Patel,arjun.patel@example.com,East,Laptop,Electronics,1,75000.0
670,2024-10-05,Amit Patel,amit.patel@example.com,East,Laptop,Electronics,2,150000.0
882,2023-12-17,Sneha Sharma,sneha.sharma@example.com,East,Laptop,Electronics,5,375000.0
885,2024-05-10,Simran Kumar,simran.kumar@example.com,East,Laptop,Electronics,1,75000.0
894,2024-07-18,Neha Mehta,neha.mehta@example.com,East,Laptop,Electronics,4,300000.0
946,2024-01-07,Neha Chopra,neha.chopra@example.com,East,Laptop,Electronics,4,300000.0
14,2024-11-03,Simran Iyer,simran.iyer@example.com,South,Laptop,Electronics,4,300000.0
48,2023-03-18,Priya Reddy,priya.reddy@example.com,South,Laptop,Electronics,3,225000.0
109,2023-05-19,Karan Gupta,karan.gupta@example.com,South,Laptop,Electronics,1,75000.0
158,2023-10-23,Ravi Reddy,ravi.reddy@example.com,South,Laptop,Electronics,3,225000.0
184,2024-04-20,Sneha Chopra,sneha.chopra@example.com,South,Laptop,Electronics,4,300000.0
229,2023-04-25,Ravi Singh,ravi.singh@example.com,South,Laptop,Electronics,2,150000.0
233,2024-07-14,Neha Chopra,neha.chopra@example.com,South,Laptop,Electronics,3,225000.0
262,2023-05-03,Rahul Sharma,rahul.sharma@example.com,South,Laptop,Electronics,3,225000.0
436,2023-03-14,Priya Reddy,priya.reddy@example.com,South,Laptop,Electronics,2,150000.0
483,2024-01-05,Ravi Sharma,ravi.sharma@example.com,South,Laptop,Electronics,3,225000.0
506,2024-12-17,Pooja Verma,pooja.verma@example.com,South,Laptop,Electronics,4,300000.0
519,2024-02-18,Amit Verma,amit.verma@example.com,South,Laptop,Electronics,1,75000.0
541,2024-07-03,Amit Iyer,amit.iyer@example.com,South,Laptop,Electronics,5,375000.0
582,2023-05-20,Ravi Reddy,ravi.reddy@example.com,South,Laptop,Electronics,4,300000.0
597,2024-06-04,Neha Patel,neha.patel@example.com,South,Laptop,Electronics,5,375000.0
621,2024-06-28,Simran Singh,simran.singh@example.com,South,Laptop,Electronics,5,375000.0
648,2023-07-18,Ravi Chopra,ravi.chopra@example.com,South,Laptop,Electronics,4,300000.0
657,2023-11-15,Arjun Singh,arjun.singh@example.com,South,Laptop,Electronics,5,375000.0
725,2024-02-11,Amit Chopra,amit.chopra@example.com,South,Laptop,Electronics,5,375000.0
754,2023-08-01,Simran Iyer,simran.iyer@example.com,South,Laptop,Electronics,4,300000.0
822,2023-11-29,Ravi Sharma,ravi.sharma@example.com,South,Laptop,Electronics,5,375000.0
898,2023-09-06,Pooja Singh,pooja.singh@example.com,South,Laptop,Electronics,2,150000.0
94,2023-01-09,Pooja Iyer,pooja.iyer@example.com,North,Laptop,Electronics,5,375000.0
168,2024-12-13,Neha Sharma,neha.sharma@example.com,North,Laptop,Electronics,1,75000.0
170,2024-10-23,Arjun Gupta,arjun.gupta@example.com,North,Laptop,Electronics,5,375000.0
196,2024-11-14,Priya Reddy,priya.reddy@example.com,North,Laptop,Electronics,2,150000.0
248,2024-09-12,Amit Patel,amit.patel@example.com,North,Laptop,Electronics,3,225000.0
266,2024-11-04,Sneha Sharma,sneha.sharma@example.com,North,Laptop,Electronics,1,75000.0
303,2023-09-02,Neha Sharma,neha.sharma@example.com,North,Laptop,Electronics,5,375000.0
347,2023-07-03,Pooja Reddy,pooja.reddy@example.com,North,Laptop,Electronics,4,300000.0
348,2023-02-02,Rahul Sharma,rahul.sharma@example.com,North,Laptop,Electronics,2,150000.0
364,2024-09-22,Simran Patel,simran.patel@example.com,North,Laptop,Electronics,5,375000.0
388,2023-06-10,Neha Mehta,neha.mehta@example.com,North,Laptop,Electronics,4,300000.0
392,2023-03-31,Simran Iyer,simran.iyer@example.com,North,Laptop,Electronics,4,300000.0
393,2024-04-30,Rahul Sharma,rahul.sharma@example.com,North,Laptop,Electronics,4,300000.0
402,2024-05-14,Ravi Verma,ravi.verma@example.com,North,Laptop,Electronics,1,75000.0
403,2024-05-27,Karan Iyer,karan.iyer@example.com,North,Laptop,Electronics,4,300000.0
425,2023-05-22,Neha Patel,neha.patel@example.com,North,Laptop,Electronics,3,225000.0
432,2023-02-12,Sneha Patel,sneha.patel@example.com,North,Laptop,Electronics,2,150000.0
535,2023-10-18,Pooja Reddy,pooja.reddy@example.com,North,Laptop,Electronics,4,300000.0
550,2023-01-04,Neha Patel,neha.patel@example.com,North,Laptop,Electronics,1,75000.0
617,2024-12-28,Rahul Singh,rahul.singh@example.com,North,Laptop,Electronics,1,75000.0
659,2023-02-11,Karan Gupta,karan.gupta@example.com,North,Laptop,Electronics,4,300000.0
664,2024-08-19,Sneha Sharma,sneha.sharma@example.com,North,Laptop,Electronics,1,75000.0
682,2023-03-04,Arjun Singh,arjun.singh@example.com,North,Laptop,Electronics,5,375000.0
714,2023-07-28,Pooja Iyer,pooja.iyer@example.com,North,Laptop,Electronics,3,225000.0
771,2023-04-30,Sneha Mehta,sneha.mehta@example.com,North,Laptop,Electronics,5,375000.0
842,2024-08-30,Priya Sharma,priya.sharma@example.com,North,Laptop,Electronics,5,375000.0
939,2024-01-08,Simran Iyer,simran.iyer@example.com,North,Laptop,Electronics,1,75000.0
989,2023-06-05,Rahul Singh,rahul.singh@example.com,North,Laptop,Electronics,3,225000.0
77,2023-05-11,Sneha Sharma,sneha.sharma@example.com,Central,Mobile Phone,Electronics,3,75000.0
87,2024-05-27,Amit Gupta,amit.gupta@example.com,Central,Mobile Phone,Electronics,4,100000.0
135,2024-02-01,Pooja Reddy,pooja.reddy@example.com,Central,Mobile Phone,Electronics,4,100000.0
215,2023-09-23,Neha Patel,neha.patel@example.com,Central,Mobile Phone,Electronics,4,100000.0
220,2024-08-04,Simran Patel,simran.patel@example.com,Central,Mobile Phone,Electronics,3,75000.0
228,2024-09-19,Neha Reddy,neha.reddy@example.com,Central,Mobile Phone,Electronics,2,50000.0
253,2024-02-10,Arjun Patel,arjun.patel@example.com,Central,Mobile Phone,Electronics,5,125000.0
300,2024-06-21,Amit Iyer,amit.iyer@example.com,Central,Mobile Phone,Electronics,5,125000.0
389,2024-10-24,Ravi Chopra,ravi.chopra@example.com,Central,Mobile Phone,Electronics,3,75000.0
394,2024-08-14,Rahul Kumar,rahul.kumar@example.com,Central,Mobile Phone,Electronics,2,50000.0
396,2023-02-28,Sneha Patel,sneha.patel@example.com,Central,Mobile Phone,Electronics,4,100000.0
434,2024-06-01,Karan Mehta,karan.mehta@example.com,Central,Mobile Phone,Electronics,2,50000.0
482,2023-07-10,Simran Iyer,simran.iyer@example.com,Central,Mobile Phone,Electronics,1,25000.0
615,2023-05-30,Amit Iyer,amit.iyer@example.com,Central,Mobile Phone,Electronics,1,25000.0
624,2024-05-17,Ravi Mehta,ravi.mehta@example.com,Central,Mobile Phone,Electronics,3,75000.0
635,2024-06-08,Karan Gupta,karan.gupta@example.com,Central,Mobile Phone,Electronics,1,25000.0
646,2023-02-12,Ravi Singh,ravi.singh@example.com,Central,Mobile Phone,Electronics,2,50000.0
746,2023-01-27,Ravi Verma,ravi.verma@example.com,Central,Mobile Phone,Electronics,2,50000.0
748,2023-08-15,Rahul Kumar,rahul.kumar@example.com,Central,Mobile Phone,Electronics,4,100000.0
750,2024-06-06,Arjun Gupta,arjun.gupta@example.com,Central,Mobile Phone,Electronics,5,125000.0
816,2023-06-29,Ravi Verma,ravi.verma@example.com,Central,Mobile Phone,Electronics,3,75000.0
841,2024-11-17,Ravi Singh,ravi.singh@example.com,Central,Mobile Phone,Electronics,5,125000.0
886,2023-08-26,Amit Reddy,amit.reddy@example.com,Central,Mobile Phone,Electronics,4,100000.0
887,2024-05-04,Priya Reddy,priya.reddy@example.com,Central,Mobile Phone,Electronics,2,50000.0
912,2023-08-23,Pooja Patel,pooja.patel@example.com,Central,Mobile Phone,Electronics,5,125000.0
995,2023-05-31,Neha Iyer,neha.iyer@example.com,Central,Mobile Phone,Electronics,3,75000.0
996,2023-08-12,Karan Iyer,karan.iyer@example.com,Central,Mobile Phone,Electronics,4,100000.0
25,2024-06-21,Simran Iyer,simran.iyer@example.com,West,Mobile Phone,Electronics,1,25000.0
59,2024-12-31,Rahul Sharma,rahul.sharma@example.com,West,Mobile Phone,Electronics,5,125000.0
104,2023-03-09,Neha Verma,neha.verma@example.com,West,Mobile Phone,Electronics,4,100000.0
126,2023-03-04,Priya Mehta,priya.mehta@example.com,West,Mobile Phone,Electronics,1,25000.0
252,2024-06-20,Amit Verma,amit.verma@example.com,West,Mobile Phone,Electronics,5,125000.0
292,2023-01-22,Rahul Singh,rahul.singh@example.com,West,Mobile Phone,Electronics,3,75000.0
313,2023-09-27,Amit Chopra,amit.chopra@example.com,West,Mobile Phone,Electronics,4,100000.0
337,2023-09-19,Ravi Chopra,ravi.chopra@example.com,West,Mobile Phone,Electronics,3,75000.0
343,2023-09-03,Amit Chopra,amit.chopra@example.com,West,Mobile Phone,Electronics,2,50000.0
351,2023-05-22,Ravi Chopra,ravi.chopra@example.com,West,Mobile Phone,Electronics,5,125000.0
363,2023-03-13,Pooja Singh,pooja.singh@example.com,West,Mobile Phone,Electronics,5,125000.0
370,2023-08-04,Ravi Sharma,ravi.sharma@example.com,West,Mobile Phone,Electronics,1,25000.0
378,2024-11-09,Neha Reddy,neha.reddy@example.com,West,Mobile Phone,Electronics,4,100000.0
421,2023-12-26,Karan Mehta,karan.mehta@example.com,West,Mobile Phone,Electronics,4,100000.0
494,2024-11-04,Neha Chopra,neha.chopra@example.com,West,Mobile Phone,Electronics,3,75000.0
499,2023-11-17,Pooja Patel,pooja.patel@example.com,West,Mobile Phone,Electronics,1,25000.0
581,2024-06-01,Amit Gupta,amit.gupta@example.com,West,Mobile Phone,Electronics,2,50000.0
695,2023-06-13,Priya Reddy,priya.reddy@example.com,West,Mobile Phone,Electronics,1,25000.0
717,2023-04-30,Ravi Singh,ravi.singh@example.com,West,Mobile Phone,Electronics,4,100000.0
738,2024-01-03,Simran Sharma,simran.sharma@example.com,West,Mobile Phone,Electronics,4,100000.0
785,2024-12-03,Pooja Reddy,pooja.reddy@example.com,West,Mobile Phone,Electronics,2,50000.0
904,2024-03-23,Pooja Verma,pooja.verma@example.com,West,Mobile Phone,Electronics,4,100000.0
984,2024-10-15,Priya Kumar,priya.kumar@example.com,West,Mobile Phone,Electronics,2,50000.0
71,2023-10-04,Sneha Mehta,sneha.mehta@example.com,East,Mobile Phone,Electronics,3,75000.0
93,2023-07-27,Ravi Verma,ravi.verma@example.com,East,Mobile Phone,Electronics,4,100000.0
123,2023-07-27,Simran Patel,simran.patel@example.com,East,Mobile Phone,Electronics,4,100000.0
153,2024-04-13,Priya Kumar,priya.kumar@example.com,East,Mobile Phone,Electronics,2,50000.0
183,2023-10-26,Karan Iyer,karan.iyer@example.com,East,Mobile Phone,Electronics,4,100000.0
185,2024-08-28,Ravi Chopra,ravi.chopra@example.com,East,Mobile Phone,Electronics,2,50000.0
